statuses,date_joined,most_recent_post,following,followers,favourites,lists,tweets_this_week,retweet,retweeted_count,userNameScore,avg_tweets_by_day_of_week,engagment_rate,screen_name,account_type
6966,2010,2023,952.0,895813.0,22881,1849,0.0,130.0,193311.0,0.1999999999999999,27.286,21.58,lafrangh,1.0
14567,2010,2023,2430.0,3361.0,1833,212,3.0,108.0,2354.0,0.9090909090909092,28.571,70.04,keith_laing,1.0
47378,2010,2023,4471.0,1921.0,2022,39,1.0,60.0,22996.0,0.1999999999999999,28.571,1197.08,jesters_court1,1.0
2849,2010,2023,389.0,161.0,8029,3,1.0,6.0,3084.0,0.4285714285714286,28.571,1915.53,prageav,1.0
34918,2010,2023,890.0,5529641.0,2727,6775,13.0,52.0,237260.0,0.9375,28.571,4.29,kerrywashington,1.0
77487,2010,2023,681.0,110003.0,3620,2813,37.0,34.0,13963.0,0.8,28.571,12.69,adamfeuerstein,1.0
3849,2010,2023,354.0,190.0,1904,16,4.0,92.0,462321.0,0.125,28.429,243326.84,dericko12,1.0
22735,2010,2023,456.0,929162.0,742,499,1.0,30.0,17597.0,0.0,28.429,1.89,chingjoyce,1.0
9086,2010,2023,153.0,1529339.0,693,4408,1.0,24.0,224974.0,0.1764705882352941,28.429,14.71,sammisweetheart,1.0
22131,2010,2023,1218.0,1780350.0,9165,3573,9.0,36.0,24091.0,0.4615384615384615,28.571,1.35,missjillscott,1.0
17894,2010,2023,1315.0,3757775.0,21700,4379,0.0,62.0,4348.0,0.5294117647058824,28.571,0.12,lorenzojova,1.0
16828,2010,2023,835.0,2002624.0,12391,1534,0.0,46.0,46455.0,0.6875,28.571,2.32,crisshurtado,1.0
77528,2010,2023,1706.0,4073715.0,243,7591,98.0,54.0,23270.0,0.2666666666666667,28.571,0.57,faitelson_espn,1.0
25738,2010,2023,1521.0,4316.0,11175,100,12.0,86.0,33470.0,0.1538461538461538,28.571,775.49,fkelly25,1.0
10653,2010,2023,204.0,172.0,7076,3,18.0,44.0,178664.0,0.0588235294117647,27.143,103874.42,skygriever,1.0
13113,2010,2023,472.0,122275.0,650,1135,1.0,106.0,144740.0,0.3571428571428571,28.429,118.37,mistyonpointe,1.0
11074,2010,2023,1048.0,6526.0,28295,106,22.0,42.0,3160.0,0.1666666666666666,28.571,48.42,tavaresbooks,1.0
3249,2010,2023,110.0,133.0,9841,0,17.0,142.0,2096305.0,0.1999999999999999,26.857,1576169.17,ethy_boy,1.0
31835,2010,2023,1157.0,271514.0,1951,337,5.0,46.0,482170.0,0.4705882352941176,28.0,177.59,endrinat,1.0
1453,2010,2023,100.0,274871.0,18,322,0.0,30.0,1449.0,0.3076923076923077,28.571,0.53,bayramogluali,1.0
12258,2010,2023,960.0,202.0,7067,10,2.0,64.0,1017249.0,0.0,28.571,503588.61,lmk7796,1.0
161550,2010,2023,76043.0,78265.0,286,175,40.0,0.0,1.0,0.0,28.571,0.0,55smiling,0.0
11262,2010,2023,793.0,82391.0,2467,462,2.0,84.0,208080.0,0.5,28.571,252.55,nathalia73,1.0
4758,2010,2023,665.0,138.0,2343,3,0.0,10.0,99305.0,0.5,28.286,71960.14,jennaclairee,1.0
8921,2010,2023,561.0,12014.0,3855,83,0.0,62.0,2577.0,0.8,28.429,21.45,suzanneneville,1.0
24182,2010,2023,21172.0,195001.0,141192,632,19.0,0.0,403.0,0.3571428571428571,28.571,0.21,jonmosesvocals,0.0
71515,2010,2023,20846.0,102642.0,190865,703,25.0,0.0,2850.0,0.0769230769230768,28.286,2.78,t_s_p_o_o_k_y,1.0
10591,2010,2023,21431.0,21837.0,5978,330,1.0,22.0,11218.0,1.0,28.571,51.37,suraechinn,1.0
19513,2010,2023,1730.0,132784.0,11806,0,36.0,32.0,831.0,0.8461538461538461,28.571,0.63,robinwindsor,1.0
31825,2010,2023,204.0,199.0,379,12,2.0,42.0,95539.0,0.4166666666666666,28.571,48009.55,vamorzalinda,1.0
160345,2010,2023,3088.0,302636.0,11092,387,41.0,112.0,231986.0,0.0,28.571,76.66,dbelhoul,1.0
21138,2010,2023,104.0,169.0,11533,1,14.0,136.0,1040009.0,0.9090909090909092,28.286,615389.94,spucygenda,1.0
14998,2010,2023,151.0,214884.0,11292,299,27.0,80.0,105133.0,0.3181818181818182,28.571,48.93,shainanc,1.0
27313,2010,2023,833.0,1509038.0,8207,3024,0.0,58.0,4111.0,0.625,28.571,0.27,ceci_galliano,1.0
4250,2010,2023,580.0,72.0,4029,0,2.0,2.0,2151.0,0.5,28.571,2987.5,walll3,0.0
16711,2010,2023,228.0,3896148.0,3765,2640,1.0,40.0,13564.0,0.8666666666666667,28.571,0.35,sunidhichauhan5,1.0
971820,2010,2023,26.0,1193455.0,64701,3630,147.0,0.0,2480.0,0.5714285714285714,28.571,0.21,chipotletweets,1.0
11065,2010,2023,494.0,5608.0,1582,193,6.0,68.0,9243.0,0.7142857142857143,28.571,164.82,jeffburlew,1.0
234679,2010,2023,52518.0,74351.0,4544,189,0.0,166.0,2414938.0,0.6153846153846154,28.429,3248.02,dianaguelec,0.0
106035,2010,2023,1374.0,241338.0,6043,527,200.0,30.0,1142.0,0.25,28.571,0.47,corygfitness,1.0
23160,2010,2023,530.0,390.0,18381,1,0.0,140.0,3109922.0,0.5,26.429,797415.9,alexiaaarae,1.0
61085,2010,2023,193.0,5378230.0,355,4336,0.0,30.0,31684.0,0.5833333333333333,28.429,0.59,luckymanzano,1.0
3233,2010,2023,38.0,49.0,2348,0,0.0,44.0,25204.0,0.1176470588235294,25.571,51436.73,necatr4d,0.0
18733,2010,2023,737.0,1070399.0,229,718,5.0,50.0,7240.0,0.5714285714285714,28.571,0.68,chasericemusic,1.0
36662,2010,2023,3082.0,3246.0,76030,183,29.0,88.0,12182.0,0.6363636363636364,27.571,375.29,chizhao,1.0
1110,2010,2023,23.0,10652.0,571,136,1.0,4.0,18577.0,0.2222222222222222,28.429,174.4,jshawlax,1.0
4884,2010,2023,2719.0,4518.0,6681,133,23.0,120.0,44492.0,0.8,28.571,984.77,colleenhagerty,1.0
5289,2010,2023,1890.0,344.0,45518,8,18.0,50.0,81091.0,0.0,28.571,23572.97,foodolla,1.0
155989,2010,2023,1574.0,284021.0,1112,2476,200.0,0.0,336.0,0.5833333333333333,28.571,0.12,bfmbusiness,0.0
22137,2010,2023,1918.0,106333.0,7116,261,15.0,100.0,2520.0,0.7,28.571,2.37,alexgoude,1.0
10637,2010,2023,142.0,68.0,1025,1,5.0,74.0,329163.0,0.0769230769230768,28.571,484063.24,jevinkohnston,1.0
21706,2010,2023,1743.0,462.0,37900,1,82.0,144.0,500627.0,0.1428571428571429,28.571,108360.82,page_by_page,1.0
31674,2010,2023,232.0,5120274.0,2388,5558,22.0,0.0,5379.0,0.7857142857142857,28.571,0.11,jessicacediel,1.0
141771,2010,2023,12263.0,48571.0,301691,586,200.0,0.0,4981.0,0.9090909090909092,28.571,10.26,lauramiers,1.0
