,verified,statuses,location,date_joined,most_recent_post,following,followers,favourites,lists,tweet_language,tweets_this_week,retweet,retweeted_count,url,userNameScore,avg_tweets_by_hour_of_day,avg_tweets_by_day_of_week,screen_name,account_type,following/years,followers/lastpost
125,0,2718,1,2009,2022,541.0,193.0,1542,10,7,0.0,46.0,182540.0,1,0.7272727272727273,8.083,27.714,rod_bouchan,1,3467.418252390419,412002.76978417265
126,1,4697,1,2009,2022,198.0,655295.0,19,0,4,0.0,10.0,2359.0,1,0.6428571428571428,8.333,28.571,lyotomachidafw,1,3810.418252390419,-243099.23021582735
127,1,2421,0,2010,2021,877.0,4223785.0,208,5314,16,0.0,20.0,391606.0,0,0.8333333333333334,8.25,28.286,AlvaroMorata,1,3131.418252390419,-3811589.2302158275
128,1,34183,1,2009,2022,1758.0,820724.0,14021,7584,1,0.0,108.0,14364.0,1,0.6,8.333,28.571,KatyTurNBC,1,2250.418252390419,-408528.23021582735
129,0,1096,1,2014,2022,5785.0,35109.0,4997,154,1,0.0,36.0,1993.0,1,0.9333333333333332,8.333,28.571,AmraBeganovich,1,-1776.5817476095808,377086.76978417265
130,1,1010,0,2015,2022,71.0,143342.0,4899,60,3,0.0,78.0,55156.0,1,0.8666666666666667,7.875,27.0,RaphaelJabbour1,1,3937.418252390419,268853.76978417265
131,1,803,1,2013,2022,55.0,3678.0,22827,33,1,0.0,80.0,1358289.0,0,0.5714285714285714,8.167,28.0,itsalicehunter,1,3953.418252390419,408517.76978417265
132,0,1657,1,2012,2022,73.0,22.0,1077,1,1,0.0,104.0,353148.0,0,0.3571428571428571,7.375,25.286,JaraMatan,1,3935.418252390419,412173.76978417265
133,0,3174,0,2009,2022,244.0,92.0,1732,6,12,0.0,124.0,149947.0,0,0.4,5.75,19.714,voilamaus,1,3764.418252390419,412103.76978417265
134,0,118,1,2017,2022,308.0,29.0,588,0,7,0.0,66.0,373465.0,0,0.7692307692307692,4.75,16.286,alexis_putney,1,3700.418252390419,412166.76978417265
135,1,6139,1,2011,2022,4023.0,12303.0,8720,143,1,0.0,76.0,4108.0,1,0.6428571428571428,8.333,28.571,staceyjaswad,1,-14.581747609580816,399892.76978417265
136,0,718,0,2016,2022,543.0,23.0,4223,0,1,0.0,66.0,1051682.0,0,0.1333333333333333,8.25,28.286,hobokenhamburgr,1,3465.418252390419,412172.76978417265
137,0,3281,1,2011,2021,184.0,58.0,1753,2,1,0.0,126.0,425533.0,0,0.0833333333333333,6.0,20.571,GhoulieBaby,1,3824.418252390419,412137.76978417265
138,1,7042,1,2008,2022,3182.0,5703.0,1428,434,1,0.0,12.0,607.0,1,0.25,8.292,28.429,reddoor,1,826.4182523904192,406492.76978417265
139,1,12237,1,2010,2022,190.0,110597.0,4422,506,1,0.0,50.0,2476.0,1,0.1333333333333333,8.292,28.429,AshishChowdhry,1,3818.418252390419,301598.76978417265
140,0,43537,1,2011,2022,2465.0,1005.0,229,39,1,0.0,12.0,7905.0,0,0.1111111111111111,8.25,28.286,Puffwoody,1,1543.4182523904192,411190.76978417265
141,0,2057,1,2009,2022,184.0,119.0,1920,2,22,0.0,26.0,14952.0,0,0.1818181818181817,1.542,5.286,loveiori,1,3824.418252390419,412076.76978417265
